,,,,,,,
Owner,#,Scenario,Sample input,Prompt for output,Sample output,GE LLM run time in seconds,GE LLM Response
,,,Product types held: Endowment plans; retirement endowment; robo-advisor / funds; direct shares investments.,,,,
,,,,,,,
,,,Monthly contributions: Combined with husband: $500/month into funds.,,,,
,,,,,,,
,,,"Accumulated investments: Approximately $20,000.",,,,
,,,,,,,
,,,Approximate returns: ~3–5%.,,,,
,,,,,,,
,,,"Retirement plan structure: 10‑year premium then payout to age 65; target payout ~$3,000/month for 10 years; ~5 years of premiums paid.",,,,
,,,,,,,
,,,Longer-term planning consideration: Considering funding child’s university fees; thinking about buying land/property (not decided).,,,,
,,,,,,,
,,,Relationship & lifestyle attributes,,,,
,,,,,,,
,,,Sports & fitness: Plays pickleball; member of Ang Mo Kio pickleball group; husband swims regularly.,,,,
,,,,,,,
,,,Family dynamics: Husband sometimes joins pickleball; husband plays better; husband lets customer make financial decisions.,,,,
,,,,,,,
,,,Child / education: Customer is thinking about supporting child’s university fees in future; child has a milestone this year (transcript: “my kid doing going psi this year”).,,,,
,,,,,,,
,,,Health / injuries: Husband has past back and knee issues; required TCM and recovery.,,,,
,,,,,,,
,,,Social preferences: Uses pickleball for socialising and networking.,,,,
,,,,,,,
,,,Attitude to risk: Conservative investor (prefers guaranteed-return endowments; complements with direct market investments),,,,
Shermaine,10.2,- Short recap to be sent to the couple customer,Overview,"Generate a short recap that the advisor can send to the customer over WhatsApp after the meeting to recap the meeting. Don't include anything that is only relevant for the advisor to know and does not need to be recapped for the customer (e.g., specific numbers that the customer shared, or any ""soft"" attributes we have captured that is only for advisor's own reference). Make sure the tone is friendly professional, appropriate for an advisor to share directly to customer. See the detailed meeting summary here:","Hi, it was really nice catching up today! We talked about your retirement goals, the rising cost of living in Singapore, and your interest in setting up a structured charity trust. I also shared how Great Eastern’s long history and new High Net Worth initiatives can support these plans. Let’s meet again soon at the GE lounge to go deeper into your goals — when would be a good time for you?",,
,,- Based on meeting transcription,"Narrative: This was an exploratory, values-driven discussion between the couple and a senior Great Eastern advisor. The meeting focused on lifestyle, retirement, and charitable legacy planning, framed within Singapore’s cost-of-living context. The advisor emphasized Great Eastern’s stability and High Net Worth initiatives, while building rapport through personal touches.",Give a call to action to meet up soon in a casual way.,,,
,,,,<Insert detailed meeting summary>,,,
,,,Key bullets,,,,
,,,,,,,
,,,"Purpose of meeting: Explore retirement comfort, legacy planning via charity trust, and lifestyle priorities.",,,,
,,,,,,,
,,,"Type of review: Conceptual, high-level discussion (no product push).",,,,
,,,,,,,
,,,"Who attended: Customer 1 (husband, 40, fund manager), Customer 2 (wife, 38, teacher), Advisor.",,,,
,,,,,,,
,,,"Stage of conversation: Early-stage, exploratory; next meeting proposed at GE lounge.",,,,
,,,,,,,
,,,"Tone & sentiments: Warm, reflective, collaborative; customers open and engaged.",,,,
,,,,,,,
,,,"Overall insights: Couple values lifestyle freedom, charitable giving, and retirement security; concerned about inflation, healthcare, and future tax changes. Advisor noted their refined lifestyle preferences and importance of neat, private settings.",,,,
,,,,,,,
,,,Discussion Points,,,,
,,,Pets as “children”; lifestyle revolves around dogs and dog-friendly places.,,,,
,,,,,,,
,,,"Income: husband ~$16k/month, wife ~$5–6k/month (excluding bonuses).",,,,
,,,,,,,
,,,"Retirement goals: travel once or twice a year, healthcare security, freedom to retire before 70.",,,,
,,,,,,,
,,,"Concerns: rising cost of living, inflation, possible future tax changes.",,,,
,,,,,,,
,,,Charity: desire to set up structured trust fund for charities (legacy without descendants).,,,,
,,,,,,,
,,,Advisor emphasized:,,,,
,,,,,,,
,,,Importance of planning without fallback (no children).,,,,
,,,,,,,
,,,"Singapore context: CPF limitations, strong regulation, no capital gains/inheritance tax (but policies can change).",,,,
,,,,,,,
,,,"Great Eastern’s stability (110+ years, governance focus).",,,,
,,,,,,,
,,,New High Net Worth initiatives and GE client lounge experience.,,,,
,,,,,,,
,,,"Extra notes: couple carries luxury items (Birkin bag, Prada shoes), prefer neat/tidy environments, may respond well to dog-related rapport. Advisor to invite them to Great Eastern Hewton Fair Suite, with exclusive tea and chocolates.",,,,
,,,,,,,
,,,Action Items,,,,
,,,Customer follow-up,,,,
,,,Customer 1 & 2: Reflect on retirement lifestyle goals and charity trust intentions.,,,,
,,,,,,,
,,,Customer 1 & 2: Attend next meeting at Great Eastern’s new client lounge (Hewton Fair Suite).,,,,
,,,,,,,
,,,Advisor follow-up,,,,
,,,Advisor: Map couple’s life goals clearly.,,,,
,,,,,,,
,,,Advisor: Explore retirement pathways under Singapore context.,,,,
,,,,,,,
,,,Advisor: Present charity trust planning concepts.,,,,
,,,,,,,
,,,Advisor: Arrange next meeting at GE lounge; prepare exclusive tea/chocolates.,,,,
,,,,,,,
,,,"Advisor: Ensure meeting environment is neat, tidy, and quiet.",,,,
,,,,,,,
,,,Advisor: Find out couple’s banking partners; prepare for legacy planning objections.,,,,
,,,,,,,
,,,Advisor: Consider UL/iUL as potential planning tools (conceptual discussion only).,,,,
,,,,,,,
,,,Advisor: Use dog-related conversation to build rapport.,,,,
,,,,,,,
,,,Extracted Attributes,,,,
,,,"Customer 1 (Husband, 40, Fund Manager)",,,,
,,,Financial attributes: Income ~$16k/month (excluding bonus); cyclical industry risk profile.,,,,
,,,,,,,
,,,"Relationship attributes: Married, no children, two dogs considered “children”; values freedom in retirement; concerned about taxes and inflation; wears Prada shoes.",,,,
,,,,,,,
,,,"Customer 2 (Wife, 38, Teacher)",,,,
,,,"Financial attributes: Income ~$5–6k/month; stable, predictable career.",,,,
,,,,,,,
,,,"Relationship attributes: Married, no children, two dogs; values stability, travel once or twice a year; sees charitable giving as meaningful legacy; carries Birkin bag.",,,,
,,,,,,,
,,,Action Items (repeat),,,,
,,,Customer follow-up: Reflect on retirement and charity trust goals; attend next meeting at GE lounge.,,,,
,,,"Advisor follow-up: Map life goals, explore retirement pathways, present charity trust concepts, arrange GE lounge meeting with exclusive tea/chocolates, ensure tidy environment, prepare objection handling, consider UL/iUL, build rapport via dog-related conversation.",,,,
Nisha,11,- Short recap to be sent to customer,1. Overview,"Generate a short recap that the advisor can send to the customer over WhatsApp after the meeting to recap the meeting. Don't include anything that is only relevant for the advisor to know and does not need to be recapped for the customer (e.g., specific numbers that the customer shared, or any ""soft"" attributes we have captured that is only for advisor's own reference). Make sure the tone is appropriate for an advisor to share directly to customer. See the detailed meeting summary here:","Hey Marcus, great catching up with you today.",,
,,- Based on voice recap,,,,,
,,,This was a post–career transition review with Marcus to understand his updated financial situation and assess whether his current plans are still adequate.,<Insert detailed meeting summary>,"Just to recap, we went through your recent job change, your current housing commitments, and how your overall financial position has evolved. We also discussed your existing coverage and highlighted a few areas that may need a closer review, especially around protection for income, health, and future responsibilities.",,
,,,,,,,
,,,Purpose: Reassess finances and protection after job change,,"As a next step, please send me:",,
,,,Type: Early-stage review (fact-finding + gap identification),,,,
,,,"Attendees: Advisor, Marcus",,* your existing policy details,,
,,,Stage: Discovery phase → preparing for recommendation,,* your CPF summary,,
,,,Tone & Sentiment: Open and receptive; slightly cautious due to income stability and cash flow,,* a rough breakdown of your monthly expenses,,
,,,Overall Insight:,,,,
,,,"Marcus has built a solid financial base, but his protection coverage has not kept pace with his increased liabilities and upcoming life stage changes",,"Once I have that, I’ll put together a proper review and proposal for us to go through next.",,
,,,2. Discussion Points,,,,
,,,,,,,
,,,Career & Income,,,,
,,,,,,,
,,,Recently moved from banking to fintech startup (~3 months),,,,
,,,Income shifted from stable salary + bonus → lower base + equity,,,,
,,,Some uncertainty around long-term income stability,,,,
,,,,,,,
,,,Housing & Commitments,,,,
,,,,,,,
,,,Purchased a condo last year,,,,
,,,Large mortgage with ongoing repayments mainly via CPF,,,,
,,,Creates higher dependency on consistent income,,,,
,,,,,,,
,,,Financial Position,,,,
,,,,,,,
,,,Maintains healthy cash savings and investment portfolio,,,,
,,,Regular monthly investing (DCA into ETFs and tech stocks),,,,
,,,,,,,
,,,Protection Overview,,,,
,,,,,,,
,,,Currently only covered by hospital plan (with rider) and a term plan,,,,
,,,No critical illness or personal accident coverage,,,,
,,,Existing term coverage low relative to housing loan,,,,
,,,,,,,
,,,Lifestyle & Risk Exposure,,,,
,,,,,,,
,,,"Active lifestyle (gym, Muay Thai)",,,,
,,,Past ankle injury with no coverage → highlights risk gap,,,,
,,,,,,,
,,,Personal & Future Plans,,,,
,,,,,,,
,,,In a serious relationship (~1 year),,,,
,,,"Plans to get married in ~2–3 years, with children thereafter",,,,
,,,Financial responsibilities expected to increase,,,,
,,,3. Action Items (from Meeting),,,,
,,,,,,,
,,,Customer – Follow-up,,,,
,,,,,,,
,,,Send existing policy details,,,,
,,,Share CPF summary,,,,
,,,Provide rough monthly expense breakdown,,,,
,,,,,,,
,,,Advisor – Follow-up,,,,
,,,,,,,
,,,Do proper calculation and prepare proposal,,,,
,,,📊 Customer Attributes,,,,
,,,Customer 1 – Marcus,,,,
,,,,,,,
,,,Financial Attributes,,,,
,,,,,,,
,,,Income (Previous): ~9.5k/month + ~3 months bonus,,,,
,,,Income (Current): ~8k/month + equity,,,,
,,,Mortgage: ~$1.1M loan (~$4.2k/month),,,,
,,,CPF OA: ~$60k,,,,
,,,CPF SA: ~$110k,,,,
,,,Cash Savings: ~$70k,,,,
,,,Investments: ~$180k,,,,
,,,Monthly Investment: ~$1.5k (ETF + tech stocks),,,,
,,,Insurance:,,,,
,,,"Hospital plan (AIA, with rider)",,,,
,,,Term life (~$300k),,,,
,,,No CI / No PA,,,,
,,,,,,,
,,,Relationship & Lifestyle Attributes,,,,
,,,,,,,
,,,Career Change: Banking → Fintech startup (~3 months ago),,,,
,,,Income Stability: Uncertain due to startup + equity structure,,,,
,,,Lifestyle: Gym + Muay Thai,,,,
,,,Health: Previous ankle injury,,,,
,,,"Relationship Status: Attached (~1 year, serious)",,,,
,,,Future Plans:,,,,
,,,Marriage: ~2–3 years,,,,
,,,Children: Few years after marriage,,,,
,,,🔁 Action Items (Consolidated),,,,
,,,Customer 1 – Marcus,,,,
,,,Send existing policy details,,,,
,,,Share CPF summary,,,,
,,,Provide monthly expense breakdown,,,,
,,,Advisor,,,,
,,,Do proper calculation and prepare proposal,,,,
Nisha,12,- Meeting prep for completely new customer,-,"Generate a concise and helpful sample meeting prep/guidelines for an advisor who is meeting a new customer (and we don't have any information captured about them in our customer database nor has the advisor logged any prior information about the customer in the database). Include the following. Focus on relationship building and guidance on how to uncover this information in a indirect way, but not product-focused or like a typical insurance advisor. Keep it mobile-friendly, engaging, and localized with latest news and trends. Conversation starter should be linked to casual topics like travel, local news, events. Focus on relationship and rapport building rather than insurance sales.","Here’s a **mobile-friendly, relationship-first meeting guide** designed to feel natural, conversational, and not “salesy” at all 🇸🇬",,
,,,,1. Quick check-in (rapport building),,,
,,,,a. Brief personal intro,---,,
,,,,b. Ease into conversation through small talk,,,
,,,,2. Meeting framing & expectation setting,## 🧭 First Meeting Guide (New Client – Rapport First),,
,,,,a. Set expectation this is an exploratory conversation,,,
,,,,b. Focus on understanding their situation,---,,
,,,,c. Clarify there is no pressure to decide today,,,
,,,,d. Position your role as helping them think through their situation,### 1. 👋 Quick Check-In (Start Like a Normal Conversation),,
,,,,3. Personal & life context discovery,,,
,,,,a. Family situation,**a. Simple Intro (keep it light)**,,
,,,,b. Life stage,,,
,,,,c. Responsibilities,> “I usually help people organise their finances and make sense of things—more like a sounding board than anything.”,,
,,,,4. Goals & priorities discovery,,,
,,,,a. Short-term goals,**b. Ease In with Casual Topics (local + relatable)**,,
,,,,b. Long-term goals,,,
,,,,c. Financial priorities,* “Any travel plans coming up? Seems like everyone going Japan these days 😄”,,
,,,,d. Financial risk,* “Have you been following the recent cost of living stuff? Everything getting pricier”,,
,,,,5. Financial & insurance baseline,* “Weekends nowadays you more chill or still quite packed?”,,
,,,,a. Existing coverage,,,
,,,,b. Financial habits,"👉 Goal: **Feel like a friend catching up, not a meeting**",,
,,,,c. Awareness level,,,
,,,,6. Next steps and date to meet,---,,
,,,,,,,
,,,,,### 2. 🧭 Frame the Conversation (Lower Guard Early),,
,,,,,,,
,,,,,* “Today is really just a casual chat to understand your situation”,,
,,,,,* “No pressure to make any decisions”,,
,,,,,"* “If anything is useful, we can always explore further next time”",,
,,,,,,,
,,,,,👉 Position yourself as:,,
,,,,,,,
,,,,,"> “Someone helping you think things through, not selling anything”",,
,,,,,,,
,,,,,---,,
,,,,,,,
,,,,,### 3. 🧑‍🤝‍🧑 Personal & Life Context (Uncover Naturally),,
,,,,,,,
,,,,,**a. Family Situation**,,
,,,,,,,
,,,,,* “Do you usually plan things just for yourself or also for family?”,,
,,,,,,,
,,,,,**b. Life Stage**,,
,,,,,,,
,,,,,* “Are you more in the building phase now or already settling down?”,,
,,,,,,,
,,,,,**c. Responsibilities**,,
,,,,,,,
,,,,,"* “These days biggest commitments usually what—work, home, family?”",,
,,,,,,,
,,,,,"👉 Let them **share stories**, not answer questions",,
,,,,,,,
,,,,,---,,
,,,,,,,
,,,,,### 4. 🎯 Goals & Priorities (Make It About Their Life),,
,,,,,,,
,,,,,**a. Short-Term**,,
,,,,,,,
,,,,,* “Anything you’re looking forward to in the next couple of years?”,,
,,,,,,,
,,,,,**b. Long-Term**,,
,,,,,,,
,,,,,"* “Longer term, what would you ideally want life to look like?”",,
,,,,,,,
,,,,,**c. Financial Priorities**,,
,,,,,,,
,,,,,"* “For you now, is it more about growing, protecting, or keeping things flexible?”",,
,,,,,,,
,,,,,**d. Financial Risk (softly)**,,
,,,,,,,
,,,,,* “Anything that worries you a bit financially these days?”,,
,,,,,,,
,,,,,👉 Tie to real life:,,
,,,,,,,
,,,,,"* Travel, housing, career moves, rising costs",,
,,,,,,,
,,,,,---,,
,,,,,,,
,,,,,### 5. 💰 Financial & Insurance Baseline (Keep It Chill),,
,,,,,,,
,,,,,**a. Existing Coverage**,,
,,,,,,,
,,,,,* “Have you set up anything before? Like hospital or other plans?”,,
,,,,,,,
,,,,,**b. Financial Habits**,,
,,,,,,,
,,,,,* “Are you someone who saves/invests regularly or more flexible?”,,
,,,,,,,
,,,,,**c. Awareness Level**,,
,,,,,,,
,,,,,* “Do you feel quite clear about how everything is structured currently?”,,
,,,,,,,
,,,,,👉 No judgment—just **understand where they are**,,
,,,,,,,
,,,,,---,,
,,,,,,,
,,,,,### 6. 🤝 Next Steps (Keep It Easy & Optional),,
,,,,,,,
,,,,,"* “If you’re open, next time I can help you organise everything clearly—no rush”",,
,,,,,"* “Maybe we catch up again next week or the week after, whichever works for you”",,
,,,,,,,
,,,,,👉 Keep it:,,
,,,,,,,
,,,,,* Light,,
,,,,,* Optional,,
,,,,,* Collaborative,,
,,,,,,,
,,,,,---,,
,,,,,,,
,,,,,## ✅ Key Mindset,,
,,,,,,,
,,,,,"* Talk like a **normal human, not an advisor**",,
,,,,,* Build **comfort before clarity**,,
,,,,,* Let them feel:,,
,,,,,,,
,,,,,  * “This person understands me”,,
,,,,,,,
,,,,,---,,
,,,,,,,
,,,,,## 🧠 One-Liner,,
,,,,,,,
,,,,,"> “If the conversation feels natural, the trust will follow.”",,
Nisha,13,- Meeting prep for existing customer,-,"I am an insurance advisor who is meeting an existing customer. I have some information about the customer in the database (e.g., age, income, dependents, policy holdings), but no past meeting notes captured. Generate a concise and actionable pre-meeting preparation for me for this customer, including any of the following details that are relevant: 1. Reconnect a. Previous interaction (e.g. last meeting, referral, event, how you met) b. Light personal follow-up (e.g. job, family, plans mentioned before) c. Context re-entry (e.g. “we spoke a while ago, just picking things back up”) 2. Reset context a. Time gap (e.g. weeks/months since last conversation) b. Any updates (e.g. changes in job, family, finances) c. Re-align expectations (e.g. exploratory chat, no pressure to decide) 3. Known information a. Existing products (e.g. GE plans, basic coverage if known) b. Basic profile (family status, occupation, life stage) c. Prior touchpoints (topics loosely discussed before) 4. Current situation a. Life updates (new home, marriage, career changes) b. Financial situation (e.g. income stability, commitments) c. Any additional new products d. Any new responsibilities (e.g. dependents, loans, obligations) 5. Goals & priorities a. Short-term goals b. Long-term goals c. Financial priorities d. Financial risk 6. Solution alignment a. Areas to explore (e.g. protection, savings, planning) b. Potential fit (e.g. where solutions might align) c. Interest level (e.g. early exploration vs ready to act) 7. Close & next steps a. Suggest next steps b. Set expectations on timelines etc. I want to focus on relationship building angle, less of sales push","Here’s a **concise, relationship-first pre-meeting prep** you can use—focused on reconnecting, understanding, and building trust (not selling):",,
,,- Does not have prior meeting notes,,,,,
,,,,,---,,
,,,,,,,
,,,,,## 🧭 Pre-Meeting Prep (Existing Customer – Relationship Focus),,
,,,,,,,
,,,,,---,,
,,,,,,,
,,,,,"### 1. Reconnect (Warm, Human First)",,
,,,,,,,
,,,,,**a. Previous Interaction**,,
,,,,,,,
,,,,,* Existing customer (has policies with firm),,
,,,,,"* No notes → treat as **friendly reconnection, not continuation**",,
,,,,,* Opener:,,
,,,,,,,
,,,,,"  * “I realised we haven’t properly caught up before, so thought it’d be good to reconnect”",,
,,,,,,,
,,,,,**b. Light Personal Follow-Up**,,
,,,,,,,
,,,,,* From profile:,,
,,,,,,,
,,,,,  * Job: ___,,
,,,,,  * Family: ___,,
,,,,,* Keep it casual:,,
,,,,,,,
,,,,,  * “How’s work been lately?”,,
,,,,,  * “How’s things at home?”,,
,,,,,,,
,,,,,**c. Context Re-entry**,,
,,,,,,,
,,,,,"* “We probably spoke some time back, just picking things up again and getting to know your situation better”",,
,,,,,,,
,,,,,---,,
,,,,,,,
,,,,,### 2. Reset Context (Set Safe Space),,
,,,,,,,
,,,,,**a. Time Gap**,,
,,,,,,,
,,,,,* Assume it’s been a while,,
,,,,,"* “Not sure when your last review was, so good chance to refresh”",,
,,,,,,,
,,,,,**b. Updates to Check**,,
,,,,,,,
,,,,,* Keep conversational:,,
,,,,,,,
,,,,,"  * “Anything new recently—work, family, plans?”",,
,,,,,,,
,,,,,**c. Re-align Expectations**,,
,,,,,,,
,,,,,* Remove pressure early:,,
,,,,,,,
,,,,,  * “Today is really just a catch-up to understand where you are now”,,
,,,,,  * “No pressure to make any decisions”,,
,,,,,,,
,,,,,---,,
,,,,,,,
,,,,,### 3. Known Information (Use Lightly),,
,,,,,,,
,,,,,**a. Existing Products**,,
,,,,,,,
,,,,,* Hospital: ___,,
,,,,,* Life/Term: ___,,
,,,,,* Others: ___,,
,,,,,  👉 Don’t present as audit—use as **conversation prompts**,,
,,,,,,,
,,,,,**b. Basic Profile**,,
,,,,,,,
,,,,,* Age / life stage: ___,,
,,,,,* Occupation: ___,,
,,,,,* Family: ___,,
,,,,,,,
,,,,,**c. Prior Touchpoints**,,
,,,,,,,
,,,,,* None → assume:,,
,,,,,,,
,,,,,  * Low familiarity,,
,,,,,  * Start from basics if needed,,
,,,,,,,
,,,,,---,,
,,,,,,,
,,,,,"### 4. Current Situation (Be Curious, Not Clinical)",,
,,,,,,,
,,,,,**a. Life Updates**,,
,,,,,,,
,,,,,* “What’s been keeping you busy recently?”,,
,,,,,* Listen for:,,
,,,,,,,
,,,,,  * Career changes,,
,,,,,  * Home / family developments,,
,,,,,,,
,,,,,**b. Financial Situation**,,
,,,,,,,
,,,,,* Light touch:,,
,,,,,,,
,,,,,  * “How are things on the financial side—fairly stable?”,,
,,,,,,,
,,,,,**c. Existing / New Products**,,
,,,,,,,
,,,,,* “Have you reviewed or added anything since then?”,,
,,,,,,,
,,,,,**d. Responsibilities**,,
,,,,,,,
,,,,,* “Anyone depending on you financially right now?”,,
,,,,,,,
,,,,,---,,
,,,,,,,
,,,,,### 5. Goals & Priorities (Let Them Lead),,
,,,,,,,
,,,,,**a. Short-Term**,,
,,,,,,,
,,,,,* “Anything you’re planning for in the next couple of years?”,,
,,,,,,,
,,,,,**b. Long-Term**,,
,,,,,,,
,,,,,* “What are the bigger things you’re working towards?”,,
,,,,,,,
,,,,,**c. Financial Priorities**,,
,,,,,,,
,,,,,"* “What’s more important to you now—growing, protecting, or flexibility?”",,
,,,,,,,
,,,,,**d. Financial Risk**,,
,,,,,,,
,,,,,* “Any concerns that have been on your mind recently?”,,
,,,,,,,
,,,,,---,,
,,,,,,,
,,,,,"### 6. Solution Alignment (Soft, Non-Pushy)",,
,,,,,,,
,,,,,**a. Areas to Explore**,,
,,,,,,,
,,,,,* Position gently:,,
,,,,,,,
,,,,,  * “Maybe later we can look at whether your current plans still match your situation”,,
,,,,,,,
,,,,,**b. Potential Fit**,,
,,,,,,,
,,,,,* Link to what they said:,,
,,,,,,,
,,,,,"  * “Based on what you shared, might be worth reviewing ___”",,
,,,,,,,
,,,,,**c. Interest Level**,,
,,,,,,,
,,,,,* Observe:,,
,,,,,,,
,,,,,  * Curious → go deeper,,
,,,,,  * Reserved → stay high-level,,
,,,,,,,
,,,,,---,,
,,,,,,,
,,,,,### 7. Close & Next Steps (Collaborative),,
,,,,,,,
,,,,,**a. Suggest Next Steps**,,
,,,,,,,
,,,,,"* “If you’re open to it, I can help you organise everything and show you how it fits together”",,
,,,,,,,
,,,,,**b. Set Expectations**,,
,,,,,,,
,,,,,* Keep it light:,,
,,,,,,,
,,,,,  * “We can take it step by step—no rush”,,
,,,,,  * Offer follow-up only if relevant,,
,,,,,,,
,,,,,---,,
,,,,,,,
,,,,,## ✅ Key Mindset,,
,,,,,,,
,,,,,* **Reconnect before you review**,,
,,,,,* **Understand before you advise**,,
,,,,,"* **Guide, don’t push**",,
,,,,,,,
,,,,,---,,
,,,,,,,
,,,,,## 🧠 One-Liner to Anchor You,,
,,,,,,,
,,,,,> “This meeting is about getting to know them again and making them feel understood—not about closing anything.”,,
Shermaine,14,- Meeting prep for existing 1 customer,## 📝 Meeting Summary (Minchi),"now, prepare a meeting preparation summary for the advisor so that he is able to have a fruitful meeting with minchi as he will meet her in a few days time. in the meeting preparation summary include elements of:",Conversation Openers (light-hearted),,
,,- Has prior meeting notes,,- conversation openers (light hearted),Ask about the GE pickleball tournament: “Did you get a chance to warm up for the tournament yet?”,,
,,,---,"- what to focus on, such as a quick recap of what was previously discussed, quick check-in, what topics to address in the context of living in Singapore. Merge local context into the topics to address.",,,
,,,,- how to best engage customer based on customer soft and financial attributes,Mention her Ang Mo Kio pickleball group: “Still playing with the Ang Mo Kio group? Must be fun to network there.”,,
,,,### 1. Overview,,,,
,,,,,Light check-in on her husband’s swimming hobby: “Has your husband been enjoying his swims lately?”,,
,,,"This was an initial, casual catch-up over coffee, anchored around a pickleball event invitation, which naturally transitioned into a light financial discussion.",,,,
,,,,,Casual small talk: “The weather’s been so wet lately — have you managed to keep up with your sports routine?”,,
,,,* **Purpose:** Relationship-building + initial understanding of financial habits and setup,,,,
,,,"* **Type:** First meeting (exploratory, informal discovery)",,What to Focus On,,
,,,"* **Attendees:** Advisor, Minchi (Customer 1)",,"Quick recap: Last time you discussed her insurance mix (Manulife + NTUC Income), retirement/endowment plans, robo-advisor investments, and the gap in personal accident coverage.",,
,,,"* **Stage:** Early discovery → rapport building, no deep planning yet",,,,
,,,"* **Tone & Sentiment:** Relaxed, open, conversational; customer was comfortable sharing",,Check-in: Confirm if she has thought more about personal accident coverage for herself.,,
,,,* **Overall Insight:**,,,,
,,,"  Minchi and her household are **financially organised and disciplined**, but there are **clear gaps in personal accident coverage and longer-term planning (child’s future needs)**",,Topics to address (with local context):,,
,,,,,,,
,,,---,,"Protection gap: Explore personal accident coverage options, tying it to Singapore’s active lifestyle culture and the rise of events like the Hyrox fitness competition — highlight how coverage supports sports enthusiasts.",,
,,,,,,,
,,,### 2. Discussion Points,,"Education planning: Discuss funding strategies for her son’s future university fees, referencing the rising costs of tertiary education in Singapore and recent conversations among parents about affordability.",,
,,,,,,,
,,,**Lifestyle & Personal Context**,,"Retirement planning: Review her existing endowment/retirement plan and consider if additional solutions are needed, especially in light of Singapore’s cost-of-living pressures and government support measures (e.g., recent payouts to households).",,
,,,,,,,
,,,* Recently picked up pickleball as a social and recreational activity,,"Cash flow analysis: Present scenarios based on her current contributions and commitments, contextualised with inflation trends and everyday expenses in Singapore.",,
,,,* Regularly plays with a community group,,,,
,,,* Husband is active in swimming due to past back and knee issues,,How to Best Engage Minchi,,
,,,,,"Lifestyle connection: She values sports and social activities (pickleball, networking). Use this as a relatable entry point before transitioning to financial topics.",,
,,,**Insurance & Coverage Overview**,,,,
,,,,,Family-oriented: She is focused on her child’s future and her husband’s wellbeing. Frame financial planning around family security and education milestones.,,
,,,* Household policies split across Manulife and NTUC Income,,,,
,,,* Hospitalisation plans under NTUC Income,,"Decision-making style: Husband lets her take the lead on financial decisions. Engage her directly, empower her with clear options, and respect her independence.",,
,,,* Husband has personal accident coverage (used before for injury claims),,,,
,,,* Minchi currently does **not have personal accident coverage**,,"Risk profile: Conservative investor — prefers guaranteed returns and structured plans. Present solutions that balance safety with modest growth, avoiding overly complex or high-risk products.",,
,,,,,,,
,,,**Financial Habits & Investments**,,"Tone: Keep the conversation warm, collaborative, and supportive. Reinforce that planning now helps reduce stress later, especially given Singapore’s rising living costs",,
,,,,,,,
,,,* Conservative approach for insurance (prefers endowment-type plans),,,,
,,,* Separates insurance from investments,,,,
,,,"* Actively invests in markets (shares, robo-advisors)",,,,
,,,* Practices regular monthly investing (DCA approach),,,,
,,,,,,,
,,,**Existing Plans**,,,,
,,,,,,,
,,,* Both have retirement/endowment plans (mid-term planning in place),,,,
,,,* Plans structured for long-term payouts during retirement,,,,
,,,,,,,
,,,**Future Planning Considerations**,,,,
,,,,,,,
,,,"* Starting to think about planning for child’s future (education, early career support)",,,,
,,,* Currently no concrete plan in place yet,,,,
,,,* Open to exploring structured options,,,,
,,,,,,,
,,,**Key Gaps Identified**,,,,
,,,,,,,
,,,* No personal accident coverage for Minchi,,,,
,,,* Longer-term planning for child not yet structured,,,,
,,,,,,,
,,,---,,,,
,,,,,,,
,,,### 3. Action Items (from Meeting),,,,
,,,,,,,
,,,**Customer 1 – Minchi**,,,,
,,,,,,,
,,,* No explicit follow-up actions mentioned,,,,
,,,,,,,
,,,**Advisor – Follow-up Actions**,,,,
,,,,,,,
,,,* Prepare a more detailed discussion on:,,,,
,,,,,,,
,,,  * Personal accident coverage,,,,
,,,  * Longer-term planning for child (education / future support),,,,
,,,,,,,
,,,---,,,,
,,,,,,,
,,,## 📊 Customer Attributes,,,,
,,,,,,,
,,,### Customer 1 – Minchi,,,,
,,,,,,,
,,,**Financial Attributes**,,,,
,,,,,,,
,,,* Insurance Providers: Mix of Manulife & NTUC Income,,,,
,,,* Hospital Plan: NTUC Income (for family),,,,
,,,* Personal Accident:,,,,
,,,,,,,
,,,  * Husband: Has (Manulife),,,,
,,,  * Self: None,,,,
,,,* Investment Approach:,,,,
,,,,,,,
,,,  * Monthly DCA (~$500 combined with husband),,,,
,,,  * Portfolio ~20k,,,,
,,,  * Uses robo-advisors + direct market investments,,,,
,,,* Returns: ~3–5% range,,,,
,,,* Savings Style:,,,,
,,,,,,,
,,,  * Conservative via endowment plans,,,,
,,,  * Separate from higher-risk investments,,,,
,,,* Retirement Planning:,,,,
,,,,,,,
,,,  * Endowment-style plan with future payouts (structured for retirement),,,,
,,,,,,,
,,,**Relationship & Lifestyle Attributes**,,,,
,,,,,,,
,,,* Married with 1 child (entering primary school phase),,,,
,,,* Lifestyle:,,,,
,,,,,,,
,,,  * Plays pickleball weekly (social + networking),,,,
,,,  * Husband prefers swimming due to past injuries,,,,
,,,* Social Behaviour:,,,,
,,,,,,,
,,,  * Uses sports (pickleball group) for networking,,,,
,,,* Family Planning:,,,,
,,,,,,,
,,,"  * Considering future financial support for child (education, early career)",,,,
,,,* Decision Style:,,,,
,,,,,,,
,,,  * Takes primary role in financial decisions for household,,,,
,,,,,,,
,,,---,,,,
,,,,,,,
,,,## 🔁 Action Items (Consolidated),,,,
,,,,,,,
,,,### Customer 1 – Minchi,,,,
,,,,,,,
